recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
1128,63410622280810368,55.2129,20.688,18.077,0.0024,7.48,0.16,3.5184,0.1537,19.56,0.22,-45.21,0.16,55.2128,20.6882
352,63430967542044800,55.305,20.8544,13.8617,7.0E-4,7.13,0.04,1.9597,0.0329,22.13,0.05,-45.29,0.04,55.3049,20.8546
430,63436396380626688,55.1473,20.9656,14.8415,0.0014,7.59,0.03,2.4416,0.0262,21.39,0.03,-45.21,0.02,55.1472,20.9658
911,63449521800719488,55.774,21.0302,17.1389,0.001,7.66,0.1,3.1886,0.1422,19.37,0.12,-46.28,0.07,55.7739,21.0304
1166,63478654562505344,56.166,20.9116,18.3724,0.0021,7.51,0.23,3.5029,0.0951,20.6,0.27,-47.92,0.17,56.1659,20.9118
29,63502259702709888,56.3834,21.2465,7.7283,3.0E-4,7.75,0.03,0.2421,4.0E-4,20.65,0.04,-47.76,0.03,56.3833,21.2467
1203,63502745034164736,56.2981,21.2413,18.7548,0.0024,7.3,0.21,3.6312,0.1983,20.37,0.26,-46.22,0.19,56.298,21.2415
1185,63507860340462208,56.5931,21.0888,18.5602,0.0024,7.59,0.27,3.6595,0.1768,20.47,0.28,-46.55,0.19,56.593,21.089
1201,63527827643105408,56.5325,21.3452,18.7318,0.0023,7.23,0.19,3.4489,0.1929,19.01,0.24,-45.06,0.18,56.5324,21.3454
242,63547270960574336,56.0028,21.2819,12.4209,0.0017,7.44,0.02,1.362,0.002,20.15,0.02,-46.02,0.01,56.0027,21.2821
229,63547378335443200,55.8113,21.1526,12.2959,9.0E-4,7.69,0.02,1.3319,0.004,21.82,0.02,-47.01,0.01,55.8112,21.1528
742,63585036608738048,56.2204,21.571,16.5487,0.001,7.79,0.06,3.2188,0.1128,21.32,0.08,-47.13,0.06,56.2203,21.5712
1100,63589743893287936,56.5671,21.686,17.8556,0.0014,7.55,0.19,3.2953,0.1419,20.55,0.2,-44.1,0.13,56.567,21.6862
684,63627264728628224,57.8193,21.0595,16.3464,8.0E-4,7.29,0.07,2.9307,0.089,19.48,0.08,-44.73,0.04,57.8192,21.0597
